Sun Mar  5 22:17:58 2023    output.dat

         154435388 function calls (149192969 primitive calls) in 851.703 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   248148  653.416    0.003  653.416    0.003 {built-in method polyhedral_gravity.evaluate}
  1210136   26.360    0.000   72.315    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numeric.py:1485(cross)
   605068   21.194    0.000  103.571    0.000 /Users/rasmus/Master Thesis/My Repositories/67P-Swarm/67p_swarm/mesh_utility.py:128(rays_triangle_intersect)
11526515/6551244   18.806    0.000  102.520    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  7260816   12.533    0.000   19.125    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numeric.py:1347(normalize_axis_tuple)
  3630408   11.607    0.000   36.743    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numeric.py:1410(moveaxis)
    17748    6.509    0.000  666.966    0.038 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/integrators/integrator_types.py:262(step)
1488906/1240754    4.577    0.000   25.848    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:53(__init__)
  2485942    4.570    0.000    4.570    0.000 {built-in method numpy.array}
      331    3.984    0.012  107.557    0.325 /Users/rasmus/Master Thesis/My Repositories/67P-Swarm/67p_swarm/mesh_utility.py:66(is_outside)
    17424    3.688    0.000   20.489    0.001 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:51(handle_events)
   257074    3.324    0.000    5.058    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/interpolation.py:41(__call__)
27632028/27614599    3.287    0.000    3.307    0.000 {built-in method builtins.len}
  1488906    3.223    0.000    3.223    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:148(<listcomp>)
   388001    2.968    0.000    2.968    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  7260816    2.564    0.000    4.035    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numeric.py:1397(<listcomp>)
  3963959    2.512    0.000    2.512    0.000 {built-in method numpy.asarray}
   248148    2.482    0.000  658.819    0.003 /Users/rasmus/Master Thesis/My Repositories/67P-Swarm/67p_swarm/EquationsOfMotion.py:55(compute_acceleration)
  3412876    2.425    0.000   11.102    0.000 <__array_function__ internals>:177(dot)
 11136166    2.410    0.000    2.410    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   248152    2.299    0.000    5.319    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:237(_from_axis_angle)
  3630408    2.251    0.000   41.995    0.000 <__array_function__ internals>:177(moveaxis)
  1488906    2.232    0.000    7.723    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:138(_validate_number_sequence)
  3630927    2.043    0.000    2.043    0.000 {method 'transpose' of 'numpy.ndarray' objects}
   496302    2.010    0.000    3.795    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:580(_q_matrix)
  3631407    1.798    0.000    1.798    0.000 {built-in method builtins.sorted}
   248148    1.735    0.000  702.418    0.003 /Users/rasmus/Master Thesis/My Repositories/67P-Swarm/67p_swarm/EquationsOfMotion.py:70(compute_motion)
   222226    1.723    0.000    1.754    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/utilities.py:216(search_bisection)
   248494    1.552    0.000    1.907    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/dotmap/__init__.py:109(__getattr__)
   496302    1.546    0.000   10.686    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:389(__mul__)
   496632    1.362    0.000    2.719    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/shape_base.py:23(atleast_1d)
   248148    1.320    0.000   39.824    0.000 /Users/rasmus/Master Thesis/My Repositories/67P-Swarm/67p_swarm/EquationsOfMotion.py:90(rotate_point)
   380713    1.217    0.000    4.595    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
      331    1.212    0.004  743.428    2.246 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:864(integrate)
   248150    1.180    0.000    7.538    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:461(conjugate)
   990851    1.159    0.000    5.546    0.000 <__array_function__ internals>:177(concatenate)
   496301    1.142    0.000    7.245    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/shape_base.py:285(hstack)
   248148    1.130    0.000  704.271    0.003 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/differential_system.py:301(__call__)
   244598    1.036    0.000    2.917    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/shape_base.py:357(stack)
   248150    0.936    0.000   29.754    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:610(rotate)
    17424    0.926    0.000    6.754    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/optimizer.py:116(brentsrootvec)
  3630408    0.907    0.000    0.907    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/numeric.py:1472(<listcomp>)
  1210136    0.898    0.000   74.946    0.000 <__array_function__ internals>:177(cross)
  7261147    0.884    0.000    0.884    0.000 {built-in method _operator.index}
   771222    0.869    0.000    0.869    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/desolver/utilities/interpolation.py:30(trange)
  1210536    0.829    0.000    0.829    0.000 {built-in method numpy.empty}
   248150    0.823    0.000   20.768    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/pyquaternion/quaternion.py:598(_rotate_quaternion)
   301718    0.817    0.000    4.877    0.000 /Users/rasmus/opt/anaconda3/envs/67p_swarm/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2162(sum)
